PLAYER	POS	TEAM	GP	MPG	FGM	FGA	FTM	FTA	3PM	PTS	TREB	AST	STL	BLK	TO	TOTAL
James Harden	PG,SG	HOU	64	36.3	9.5	21.6	10.4	12.1	4.5	34.0	6.6	8.0	1.7	0.8	4.6
Anthony Davis	PF,C	LAL	65	34.8	9.0	17.9	7.3	8.6	1.3	26.6	9.4	3.2	1.5	2.3	2.5
Karl-Anthony Towns	C	MIN	69	33.1	8.4	16.8	5.0	6.2	3.3	25.1	11.1	3.7	1.1	1.5	3.4
Damian Lillard	PG	POR	67	35.9	9.0	19.6	6.8	7.6	4.0	28.7	4.2	7.7	1.1	0.3	3.0
Kawhi Leonard	SG,SF	LAC	60	32.1	9.3	19.7	6.1	7.1	2.2	27.0	6.9	4.8	1.8	0.6	2.6
Stephen Curry	PG,SG	GSW	65	33.1	7.9	17.5	6.2	6.8	4.1	26.0	5.4	6.4	1.2	0.5	3.8
Nikola Jokic	PF,C	DEN	70	32.3	7.9	15.2	3.5	4.3	1.2	20.6	10.3	7.3	1.3	0.7	3.2
Kyrie Irving	PG	BRO	60	32.2	9.0	18.8	4.2	4.6	2.5	24.6	4.2	6.1	1.3	0.5	2.6
Joel Embiid	PF,C	PHI	60	30.7	7.8	16.3	7.2	8.9	1.1	23.9	12.2	3.1	0.9	1.5	3.2
Trae Young	PG	ATL	68	34.1	7.8	17.6	7.8	9.0	3.4	26.8	3.5	9.6	1.0	0.1	3.9
Jayson Tatum	SF,PF	BOS	70	34.6	9.0	19.7	3.9	4.8	3.1	24.9	7.1	4.2	1.4	0.9	2.4
Deandre Ayton	C	PHX	67	32.5	8.4	15.2	2.1	2.8	0.2	19.1	11.7	2.0	0.8	1.6	2.1
Devin Booker	SG,SF	PHX	70	35.6	8.9	18.8	6.7	7.3	2.2	26.7	4.3	6.5	0.9	0.3	3.7
Paul George	SF,PF	LAC	63	33.2	7.9	18.3	4.5	5.1	3.7	24.0	6.4	3.9	1.7	0.4	2.9
Luka Doncic	PG,SG	DAL	67	34.1	9.6	20.7	7.2	9.4	2.9	29.4	9.5	9.1	1.1	0.3	4.2
Kristaps Porzingis	PF,C	DAL	55	30.8	7.0	16.1	4.0	5.0	2.6	20.7	9.4	1.8	0.7	2.0	1.6
Jimmy Butler	SF,PF	MIA	64	33.4	5.9	12.9	7.5	9.0	0.8	20.1	6.5	5.9	1.8	0.6	2.4
Giannis Antetokounmpo	PF,C	MIL	69	30.8	10.8	19.8	6.6	10.0	1.6	29.8	13.8	5.7	1.0	1.0	3.8
Nikola Vucevic	C	ORL	69	31.6	7.9	16.1	2.1	2.6	1.8	19.5	10.6	3.5	0.9	0.8	1.4
Bam Adebayo	PF,C	MIA	65	34.5	6.9	12.3	4.0	5.5	0.0	17.9	10.8	5.3	1.2	1.4	2.9
Jusuf Nurkic	C	POR	60	30.1	6.0	12.1	3.4	4.3	0.4	15.8	9.8	3.6	1.2	1.6	2.1
John Collins	PF,C	ATL	65	31.1	7.6	13.8	2.1	2.6	1.4	18.7	8.4	1.5	0.8	1.1	1.9
LeBron James	PG,SG,SF	LAL	59	34.1	9.5	19.1	4.0	5.8	2.2	25.1	7.8	10.0	1.2	0.5	3.8
Rudy Gobert	C	UTA	67	34.8	5.8	8.3	3.8	6.0	0.0	15.3	13.7	1.5	0.7	2.1	1.9
Khris Middleton	SF,PF	MIL	67	31.1	7.4	15.7	3.5	3.9	2.5	20.8	6.5	4.5	1.1	0.1	2.3
Chris Paul	PG	PHX	61	28.5	5.8	12.0	3.3	3.7	1.7	16.5	4.6	6.4	1.5	0.2	2.2
Christian Wood	PF,C	HOU	67	31.4	6.8	12.7	4.0	5.3	1.4	18.9	9.7	1.6	0.7	1.3	1.9
Shai Gilgeous-Alexander	SG,SF	OKL	68	34.9	7.6	16.5	4.4	5.4	1.6	21.2	6.3	4.8	1.3	0.7	2.4
Fred VanVleet	PG,SG	TOR	67	35.6	6.1	14.8	3.2	3.8	2.8	18.2	3.8	6.8	1.9	0.3	2.3
Brook Lopez	C	MIL	68	27.7	4.5	10.3	2.0	2.3	1.8	12.7	4.6	1.6	0.7	2.4	1.0
Kevin Durant	SF,PF	BRO	62	30.6	8.4	17.5	5.3	6.2	2.2	24.2	5.9	4.0	0.7	0.7	3.4
Bradley Beal	SG,SF	WAS	60	35.0	8.7	19.4	6.4	7.7	2.8	26.6	3.7	5.0	1.1	0.4	3.2
Kyle Lowry	PG	TOR	60	33.9	5.4	13.0	4.8	5.7	2.6	18.1	4.6	7.2	1.4	0.4	2.9
LaMarcus Aldridge	PF,C	SAS	58	30.9	6.3	13.0	2.8	3.4	1.3	16.6	7.0	2.3	0.7	1.5	1.5
Zach LaVine	SG,SF	CHI	68	35.0	9.0	19.8	4.4	5.5	3.1	25.5	4.8	4.2	1.4	0.5	3.4
DeMar DeRozan	SG,SF	SAS	70	33.6	7.7	15.2	5.5	6.5	0.1	21.0	5.4	5.3	1.0	0.3	2.4
Donovan Mitchell	PG,SG	UTA	70	34.9	9.3	20.5	4.2	4.9	2.8	25.6	4.6	4.8	1.1	0.2	3.0
Ben Simmons	PG	PHI	65	35.2	6.8	12.0	3.3	5.2	0.0	16.9	8.0	8.1	2.1	0.6	3.5
Myles Turner	PF,C	IND	70	29.8	4.6	9.8	2.1	2.8	1.5	12.8	6.8	1.2	0.8	2.2	1.4
Jaren Jackson Jr.	PF,C	MEM	58	30.1	6.8	14.4	2.5	3.5	2.8	18.8	5.0	1.5	0.8	1.8	1.9
Pascal Siakam	PF,C	TOR	67	35.1	8.0	17.8	3.9	4.9	2.3	22.3	7.1	3.3	1.0	0.9	2.4
Robert Covington	PF,C	POR	64	33.8	4.3	10.2	1.2	1.5	2.5	12.3	7.0	1.4	1.6	1.2	1.8
Mitchell Robinson	C	NYK	68	23.2	4.2	6.0	1.3	2.4	0.0	9.7	7.3	0.6	0.9	2.0	0.7
Derrick White	PG,SG	SAS	56	29.1	4.7	10.0	3.2	3.8	1.5	14.1	4.0	4.3	1.0	1.1	1.7
Brandon Clarke	SF,PF	MEM	68	25.2	5.8	9.7	1.7	2.2	0.4	13.6	6.8	1.6	0.7	1.1	1.2
Jamal Murray	PG,SG	DEN	68	33.8	7.1	15.6	2.9	3.2	2.4	19.5	4.3	5.1	1.2	0.3	2.6
Russell Westbrook	PG	WAS	56	35.8	9.9	21.3	4.8	6.4	0.9	25.4	8.4	8.8	1.5	0.4	4.2
Domantas Sabonis	PF,C	IND	64	34.2	7.2	13.3	3.3	4.5	0.5	18.2	11.8	4.4	0.7	0.5	2.6
Tobias Harris	SF,PF	PHI	70	34.5	7.8	16.5	2.4	3.0	1.8	19.8	6.8	3.2	0.7	0.6	1.4
Thomas Bryant	C	WAS	60	27.5	5.5	9.3	1.8	2.4	0.8	13.6	7.1	1.8	0.5	1.1	1.2
Jonas Valanciunas	C	MEM	70	27.2	6.1	10.7	2.1	2.8	0.5	14.7	10.4	2.0	0.4	1.0	1.9
T.J. Warren	SF,PF	IND	60	32.5	7.2	15.0	2.5	3.1	1.5	18.5	4.5	1.9	1.3	0.5	1.3
D'Angelo Russell	PG,SG	MIN	67	31.3	7.1	16.6	3.2	3.9	3.4	20.9	3.6	6.1	1.2	0.3	2.9
Brandon Ingram	SF,PF	NOP	64	33.4	7.1	15.4	4.2	5.2	2.6	21.1	4.9	3.5	1.0	0.7	3.0
CJ McCollum	PG,SG	POR	65	34.7	8.6	19.0	2.0	2.6	2.8	22.1	4.1	4.2	0.8	0.6	2.0
Andre Drummond	C	CLE	70	31.2	7.3	13.2	2.6	4.5	0.3	17.4	12.2	2.1	1.7	1.7	3.7
Richaun Holmes	PF,C	SAC	67	25.3	4.6	7.2	1.9	2.4	0.0	11.0	7.2	0.9	0.8	1.2	1.1
Al Horford	PF,C	OKL	62	30.2	5.0	10.5	1.0	1.2	1.3	12.2	7.2	4.0	0.8	0.9	1.3
Gordon Hayward	SG,SF	CHA	58	33.2	7.8	16.4	2.4	2.8	1.6	19.5	6.1	3.7	0.7	0.4	1.9
Norman Powell	SG,SF	TOR	55	27.8	5.6	11.3	2.5	2.9	2.2	15.8	3.5	1.8	1.2	0.4	1.5
Mikal Bridges	SG,SF	PHX	69	31.6	3.8	8.0	1.6	1.9	1.5	10.8	4.5	2.0	1.7	0.7	1.5
Dejounte Murray	PG,SG	SAS	67	28.3	5.0	10.7	1.6	1.9	0.8	12.3	6.4	4.5	1.9	0.3	2.2
Daniel Theis	C	BOS	70	26.1	4.0	7.3	1.4	1.9	0.6	10.1	6.9	1.7	0.7	1.3	1.0
Collin Sexton	PG,SG	CLE	70	34.9	8.5	18.0	3.8	4.4	1.8	22.6	3.6	3.7	1.1	0.1	2.7
Jrue Holiday	PG,SG	MIL	63	31.4	6.5	14.1	2.0	2.7	1.8	16.8	4.3	5.1	1.5	0.7	2.9
Jaylen Brown	SG,SF	BOS	70	34.4	7.7	16.1	3.2	4.3	2.4	21.0	6.6	2.1	1.2	0.4	2.4
De'Aaron Fox	PG	SAC	65	33.6	8.1	16.9	4.9	6.8	1.2	22.2	4.1	7.4	1.6	0.5	3.3
Clint Capela	C	ATL	59	29.7	5.3	8.7	1.4	2.6	0.0	11.9	10.7	1.4	0.8	1.6	1.6
Buddy Hield	SG	SAC	70	29.6	7.0	15.2	1.5	1.8	3.8	19.2	4.3	2.8	0.9	0.2	2.2
Lauri Markkanen	PF,C	CHI	50	32.5	6.0	13.8	3.3	3.9	2.4	17.7	7.2	1.6	0.9	0.5	1.9
Hassan Whiteside	PF,C	SAC	60	22.4	4.5	7.4	1.5	2.3	0.1	10.5	8.9	0.8	0.3	1.8	1.1
Malcolm Brogdon	PG,SG	IND	62	30.8	5.7	12.9	3.0	3.3	1.6	16.0	4.9	7.1	0.6	0.2	2.4
Duncan Robinson	SG,SF	MIA	70	30.2	4.5	9.6	0.9	1.0	3.8	13.7	3.2	1.7	0.7	0.3	0.9
Ja Morant	PG	MEM	68	33.1	7.2	15.3	3.9	5.0	1.3	19.7	4.1	8.0	1.1	0.3	3.6
Darius Bazley	SF,PF	OKL	64	30.1	5.1	11.8	1.4	1.9	2.1	13.8	6.8	1.6	0.9	1.2	1.6
Kevin Love	PF,C	CLE	54	29.5	5.3	11.7	3.0	3.5	2.4	16.0	7.9	2.7	0.5	0.3	2.3
Michael Porter Jr.	SF,PF	DEN	64	26.4	5.6	11.5	1.8	2.1	2.0	15.0	6.7	1.2	0.8	0.4	1.5
Wendell Carter Jr.	C	CHI	67	32.6	4.6	9.0	2.9	3.9	0.2	12.3	9.9	1.3	0.9	1.2	1.8
Eric Bledsoe	PG,SG	NOP	62	29.0	5.7	11.9	2.9	3.6	1.2	15.4	4.8	5.1	1.1	0.4	2.5
Maxi Kleber	PF,C	DAL	70	27.1	3.7	7.4	1.2	1.5	1.8	10.3	5.6	1.4	0.3	1.2	0.9
Kelly Oubre Jr.	SF,PF	GSW	64	31.6	6.1	13.6	3.1	4.1	1.9	17.2	5.3	1.4	1.2	0.8	1.5
Kemba Walker	PG	BOS	48	29.2	5.8	13.7	3.3	3.8	2.8	17.7	3.4	3.7	0.8	0.4	2.0
Lonzo Ball	PG,SG	NOP	67	33.1	4.5	11.0	0.7	1.2	2.4	12.0	6.3	7.1	1.5	0.6	3.1
Marcus Smart	PG,SG	BOS	67	32.1	4.3	11.4	2.1	2.5	2.3	13.0	3.8	4.6	1.6	0.5	1.9
Bojan Bogdanovic	SF,PF	UTA	64	32.9	6.5	14.4	4.0	4.4	3.0	19.9	4.1	2.1	0.5	0.1	2.5
Delon Wright	SG,SF	DET	68	27.8	3.4	7.2	1.4	1.8	0.9	9.1	5.1	4.1	1.5	0.4	1.4
OG Anunoby	SF,PF	TOR	70	30.8	4.3	9.2	1.1	1.6	1.4	11.2	5.4	1.7	1.6	0.7	1.4
Nerlens Noel	PF,C	NYK	65	23.0	2.9	5.3	1.6	2.2	0.0	7.4	5.9	1.1	1.2	1.7	1.3
Jarrett Allen	C	BRO	70	24.4	3.9	6.1	2.2	3.3	0.0	10.0	8.7	1.3	0.5	1.3	1.1
Jerami Grant	SF,PF	DET	70	30.4	5.0	10.7	2.3	3.1	1.7	14.0	4.4	1.4	0.8	1.0	1.1
Draymond Green	PF,C	GSW	67	31.2	3.3	7.7	1.5	2.0	0.9	8.9	6.6	6.1	1.4	0.9	2.5
JJ Redick	SG	NOP	64	26.4	4.9	10.7	2.8	3.1	3.2	15.8	2.6	2.1	0.3	0.2	1.3
Elfrid Payton	PG	NYK	67	32.5	4.5	10.4	1.6	2.3	0.6	11.1	5.1	7.7	1.8	0.5	2.5
Otto Porter Jr.	SF,PF	CHI	50	28.4	5.2	11.3	1.6	2.1	1.9	13.8	3.8	2.1	1.2	0.5	1.1
Zion Williamson	PF	NOP	60	31.5	10.0	17.0	5.4	8.4	0.4	25.8	7.8	2.5	0.9	0.6	3.0
Evan Fournier	SG,SF	ORL	67	31.1	6.0	13.5	2.7	3.3	2.6	17.4	2.6	3.2	1.1	0.2	1.9
Victor Oladipo	SG,SF	IND	60	31.7	6.8	15.9	2.9	3.5	2.0	18.5	4.8	4.3	1.4	0.2	3.0
Davis Bertans	PF,C	WAS	60	27.1	4.2	9.8	1.6	2.0	3.2	13.3	3.9	1.5	0.6	0.5	1.0
Keldon Johnson	SF	SAS	60	24.4	4.4	8.2	3.0	3.7	1.1	12.8	4.8	1.3	1.1	0.1	1.1
Rui Hachimura	SF,PF	WAS	67	32.4	5.6	12.0	2.8	3.4	0.8	14.8	7.0	2.1	1.0	0.2	1.4
Ivica Zubac	C	LAC	68	24.1	4.3	7.4	2.2	3.0	0.0	10.8	8.5	1.4	0.3	1.1	1.2
Serge Ibaka	PF,C	LAC	62	28.2	6.3	12.3	1.6	2.3	1.3	15.4	8.3	1.4	0.5	0.8	2.0
Mike Conley	PG	UTA	58	33.8	6.0	14.1	2.9	3.5	2.3	17.2	3.7	5.1	1.1	0.1	2.3
Josh Richardson	SG,SF	DAL	66	32.3	5.3	12.1	2.3	2.8	2.1	14.9	3.3	2.7	1.1	0.8	2.2
Steven Adams	C	NOP	70	27.4	4.6	7.8	2.0	3.3	0.0	11.2	9.4	2.4	0.8	1.1	1.8
DeAndre Jordan	C	BRO	68	22.0	3.4	5.1	1.5	2.2	0.0	8.3	9.9	1.8	0.3	1.0	1.4
Danilo Gallinari	SF,PF	ATL	58	26.2	4.2	9.5	3.5	3.9	2.3	14.3	4.0	1.5	0.6	0.1	1.2
Terrence Ross	SG,SF	ORL	67	27.4	4.9	11.6	2.3	2.7	2.6	14.7	3.2	1.2	1.1	0.3	1.0
Kevon Looney	PF,C	GSW	64	22.7	3.7	7.1	0.9	1.2	0.0	8.3	6.9	2.2	1.3	0.7	1.3
Chris Boucher	PF,C	TOR	64	18.4	3.1	6.7	2.1	2.6	0.8	9.0	6.1	0.6	0.6	1.4	0.7
Nemanja Bjelica	PF	SAC	70	24.2	3.8	8.0	0.9	1.1	1.7	10.2	5.5	2.4	0.7	0.5	1.2
Aaron Gordon	SF,PF	ORL	68	32.5	5.5	12.6	2.6	3.7	1.4	15.1	7.9	3.8	0.8	0.6	1.6
Marc Gasol	C	LAL	60	25.7	2.8	6.4	0.8	1.1	1.3	7.7	6.3	3.4	0.8	0.9	1.3
Bogdan Bogdanovic	SG,SF,PF	ATL	62	29.8	5.3	11.7	1.3	1.7	2.6	14.4	3.3	3.3	1.1	0.2	1.6
Alec Burks	SG,SF	NYK	60	28.7	4.6	11.1	2.8	3.2	1.7	13.6	4.7	3.1	1.0	0.3	1.6
JaVale McGee	C	CLE	68	17.2	3.0	4.7	0.8	1.2	0.0	6.8	6.0	0.5	0.5	1.5	0.8
Patrick Beverley	PG,SG	LAC	60	26.9	3.0	7.0	0.6	0.9	1.7	8.4	5.4	3.8	1.2	0.5	1.4
Larry Nance Jr.	PF,C	CLE	56	25.8	4.0	7.6	0.9	1.3	1.0	9.9	5.2	2.1	1.1	0.5	1.3
Paul Millsap	PF,C	DEN	60	24.1	4.1	8.5	2.3	2.8	1.1	11.5	5.6	1.6	0.9	0.6	1.4
PJ Washington	SF,PF	CHA	70	32.4	5.5	11.9	1.9	2.8	1.8	14.6	5.8	2.3	1.0	0.9	1.9
Marvin Bagley III	PF,C	SAC	58	28.6	6.1	12.9	2.1	2.6	0.4	14.7	8.1	0.9	0.6	1.0	1.7
Donte DiVincenzo	PG,SG	MIL	68	25.2	3.8	8.4	1.1	1.5	1.4	10.2	5.3	2.5	1.4	0.3	1.5
Derrick Jones Jr.	SG,SF	POR	54	26.4	3.7	7.8	1.9	2.5	0.7	9.9	4.6	1.3	1.2	0.7	0.6
Malik Beasley	PG,SG	MIN	64	26.3	5.1	11.2	1.2	1.4	2.5	13.8	2.7	1.7	1.2	0.2	1.3
Terry Rozier	PG	CHA	70	27.8	5.4	12.6	2.3	2.6	2.5	15.5	3.5	3.0	1.0	0.2	2.1
Derrick Rose	PG,SG	DET	64	25.5	7.1	14.9	2.3	2.7	0.9	17.4	2.3	4.9	0.8	0.3	2.5
Markelle Fultz	PG,SG	ORL	70	30.1	5.6	12.4	1.9	2.4	1.0	14.2	3.7	5.5	1.3	0.2	2.2
Jordan Clarkson	PG,SG	UTA	67	24.7	5.2	11.7	2.7	3.1	2.1	15.2	2.5	2.5	0.6	0.3	1.4
Will Barton	SG,SF	DEN	68	27.5	4.7	10.6	1.5	1.9	1.6	12.5	5.2	2.9	0.9	0.5	1.3
James Wiseman	C	GSW	65	25.2	4.5	8.6	2.1	3.0	0.0	11.1	8.1	0.4	0.3	1.6	1.1
